X_Value	PIT-A-0101	PIT-A-0301	PIT-M-0101	PIT-O-0301	PIT-W-0301	PDT-M-0101-40kPa_mA	PDT-M-0101B-10kPa_mA	PDT-M-0101C-3kPa_mA	PDT-M-0101D-30Kpa_mA	PDT-M-0101D-30Kpa_mA_tara	PIT-A-AUX	Model Pressure Drop	TIT-A-0101	TIT-A-0301	TIT-M-0101	TIT-O-0301	TIT-W-0301	LV-O-0X01	LV-W-0X01	LV-M-0X01	Densitometro	FT-A-0301	FT-A-0302	FT-A-0303	FT-A-0303 1	FT-O-0301	FT-O-0302	FT-O-0303	FT-W-0301	FT-W-0302	J Ar	J Agua	Comment	Alpha	rho_g	dP_F/dz PDT-M-0101-40kPa_mA	dP_F/dz dP_dz_total_PDT-M-0101-40kPa_mA	dP_F/dz dP_dz_gravitacional	dP_F/dz PDT-M-0101D-30Kpa_mA	dP_F/dz dP_dz_total_PDT-M-0101D-30Kpa_mA
157.200000	7.804851	7.835625	1.038653	0.089147	2.968337	-14036.590923	-10939.462149	-2985.759079	-13216.631279	-13663.733826	8.247429	951.289762	23.091374	22.819045	25.501047	23.371084	23.006885	-2.909507	0.847018	0.978958	199212.258527	-0.190040	11.551578	-0.061507	0.000000	2.030151	-0.124454	-0.124442	14.010165	-0.015673	6.884607	1.795067	nan	0.535656	2.379601	4561.419655	-1204.482292	3219.939407	4321.306137	-957.770460
157.400000	7.804046	7.834724	1.041840	0.089320	2.955010	-14007.814688	-10940.063441	-2985.468146	-13187.861506	-13634.964053	8.250369	953.180636	23.099890	22.823198	25.495255	23.374282	23.004022	-2.909773	0.842859	0.978991	199199.546936	-0.189733	11.551387	-0.061855	0.000000	2.030521	-0.124450	-0.124444	14.025695	-0.015314	6.872808	1.797105	nan	0.535532	2.383370	4545.357723	-1204.482292	3220.815169	4305.258503	-957.770460
157.600000	7.803109	7.834401	1.043539	0.089710	2.955172	-13964.728733	-10940.205158	-2985.317799	-13148.832863	-13595.935409	8.253366	955.020504	23.100199	22.824114	25.500427	23.378591	23.001645	-2.909958	0.840087	0.978899	199182.107180	-0.189500	11.552279	-0.062095	0.000000	2.031713	-0.124452	-0.124450	14.040062	-0.014235	6.867465	1.799087	nan	0.535361	2.385313	4521.200973	-1204.482292	3221.993726	4283.479035	-957.770460
157.800000	7.802552	7.834277	1.042964	0.089858	2.967268	-13925.867068	-10939.374782	-2985.402986	-13116.364653	-13563.467199	8.256682	955.362334	23.095316	22.821189	25.508451	23.381123	23.004673	-2.909858	0.841842	0.979307	199173.997966	-0.189159	11.553869	-0.062206	0.000000	2.032405	-0.124453	-0.124449	14.042330	-0.013634	6.870504	1.799455	nan	0.535282	2.384577	4498.892937	-1204.482292	3222.530947	4264.917309	-957.770460
158.000000	7.802809	7.834186	1.039897	0.089841	2.981939	-13902.790765	-10939.061324	-2985.496133	-13092.814412	-13539.916959	8.259970	955.949352	23.093877	22.818036	25.509963	23.381631	23.010392	-2.909749	0.846443	0.979450	199150.971620	-0.188803	11.554489	-0.061936	0.000000	2.032167	-0.124452	-0.124445	14.047772	-0.014152	6.881249	1.800086	nan	0.535057	2.380983	4486.859296	-1204.482292	3224.068861	4252.602140	-957.770460
158.200000	7.803214	7.833915	1.036585	0.090073	2.987476	-13899.317012	-10939.790578	-2985.289205	-13082.367816	-13529.470363	8.262800	957.864221	23.101530	22.818128	25.506673	23.384023	23.008276	-2.909885	0.850315	0.979533	199102.714291	-0.188242	11.554078	-0.061513	0.000000	2.030962	-0.124450	-0.124444	14.064174	-0.014496	6.891910	1.802146	nan	0.534585	2.377141	4488.052773	-1204.482292	3227.311686	4249.699909	-957.770460
158.400000	7.802800	7.833316	1.035625	0.090080	2.977525	-13916.895938	-10941.420113	-2985.058069	-13085.524211	-13532.626758	8.265439	958.475770	23.111976	22.820049	25.500417	23.388298	22.996285	-2.909903	0.851956	0.979608	199068.606828	-0.188437	11.553815	-0.061440	0.000000	2.030190	-0.124448	-0.124448	14.069169	-0.014367	6.894346	1.802803	nan	0.534252	2.376069	4500.683857	-1204.482292	3229.613566	4253.858491	-957.770460
158.600000	7.801861	7.832764	1.037069	0.090452	2.961343	-13943.367105	-10942.479624	-2984.757339	-13097.749878	-13544.852424	8.268444	956.561948	23.116380	22.821142	25.492380	23.387626	22.985012	-2.909790	0.853429	0.979155	199060.670700	-0.188863	11.553894	-0.061712	0.000000	2.030783	-0.124447	-0.124449	14.052969	-0.014209	6.888857	1.800745	nan	0.534174	2.377820	4516.789194	-1204.482292	3230.162192	4261.598687	-957.770460
158.800000	7.801060	7.832423	1.040878	0.091597	2.956109	-13964.240822	-10942.364860	-2984.446906	-13112.428286	-13559.530833	8.271539	954.824582	23.113478	22.822530	25.492640	23.383648	22.984503	-2.909764	0.856016	0.978761	199067.822663	-0.188085	11.554140	-0.061837	0.000000	2.032142	-0.124448	-0.124450	14.038587	-0.014404	6.875846	1.798876	nan	0.534244	2.382267	4528.602126	-1204.482292	3229.695995	4269.766847	-957.770460
159.000000	7.800456	7.832513	1.044697	0.091705	2.964277	-13977.143153	-10942.547874	-2984.652214	-13124.117832	-13571.220378	8.274368	954.499473	23.107548	22.823670	25.500045	23.381819	22.992236	-2.909698	0.855463	0.978066	199079.305320	-0.187664	11.554503	-0.061727	0.000000	2.033379	-0.124447	-0.124457	14.036445	-0.014990	6.863425	1.798526	nan	0.534356	2.386668	4535.440659	-1204.482292	3228.931503	4275.878558	-957.770460
