***Resultados da Análise***
Data do teste experimental: 2025/02/25
Data tratamento: 16/05/2025
Arquivo Original: example/ID4
Coluna Critério: J Água
Tamanho Mínimo da Janela: 100.0 segundos
Tamanho Máximo da Janela: 150.0 segundos
Tamanho Ótimo da Janela: 100.0 segundos
Média da Janela: 0.2000
Desvio Padrão: 0.0007
Tempo Inicial: 171.20 segundos
Tempo Final: 271.20 segundos
Número de Pontos: 501
***Dados da Janela***
***End_of_Header***
X_Value	PIT-A-0101	PIT-A-0301	PIT-M-0101	PIT-O-0301	PIT-W-0301	PDT-M-0101-40kPa	PDT-M-0101B-10kPa	PDT-M-0101C-3kPa	PIT-A-AUX	Model Pressure Drop	TIT-A-0101	TIT-A-0301	TIT-M-0101	TIT-O-0301	TIT-W-0301	LV-O-0X01	LV-W-0X01	LV-M-0X01	Densitometro	FT-A-0301	FT-A-0302	FT-A-0303	FT-A-0303 1	FT-O-0301	FT-O-0302	FT-O-0303	FT-W-0301	FT-W-0302	J Ar	J Água	Comment
178.400000	7.576983	7.606381	0.386171	0.167045	0.655634	-280.560581	2706.402796	3.634776	7.323031	20.340789	30.155695	28.327986	30.934759	29.085431	30.588038	-2.904758	1.483994	0.842028	211239.643258	-0.185885	11.331751	-0.022725	0.000000	2.043818	-0.124345	-0.124335	0.000000	1.554901	9.668784	0.199446	nan
178.600000	7.576144	7.605841	0.387804	0.167620	0.665123	-261.374172	2706.469233	-0.825083	7.321874	20.343368	30.164090	28.328180	30.937284	29.088946	30.580690	-2.904820	1.485334	0.842499	211314.823786	-0.183738	11.332155	-0.023090	0.000000	2.043875	-0.124343	-0.124338	0.000000	1.555014	9.657216	0.199461	nan
178.800000	7.575933	7.605443	0.386804	0.168968	0.677156	-246.220680	2706.540220	-5.294761	7.320430	20.350310	30.170245	28.327824	30.940740	29.090195	30.575617	-2.904869	1.485427	0.842180	211364.755626	-0.185909	11.332851	-0.023117	0.000000	2.044194	-0.124345	-0.124339	0.000000	1.555317	9.664448	0.199500	nan
179.000000	7.576050	7.605116	0.384186	0.168985	0.681066	-237.791098	2706.622674	-8.896063	7.319157	20.347734	30.173406	28.328342	30.946634	29.090274	30.576925	-2.904969	1.484610	0.841831	211333.766661	-0.187776	11.333489	-0.022747	0.000000	2.044120	-0.124345	-0.124342	0.000000	1.555205	9.683077	0.199485	nan
179.200000	7.575870	7.604843	0.382322	0.168115	0.686179	-223.429969	2706.594007	-13.142107	7.318034	20.320345	30.174475	28.329356	30.954077	29.090811	30.579362	-2.905097	1.484477	0.842301	211238.162149	-0.185861	11.333826	-0.022328	0.000000	2.043260	-0.124341	-0.124343	0.000000	1.554008	9.696325	0.199332	nan
179.400000	7.575550	7.604681	0.379611	0.168070	0.689231	-177.350484	2706.569321	-20.215298	7.316872	20.284429	30.173736	28.329400	30.964356	29.093578	30.577558	-2.905117	1.484910	0.842808	211096.584226	-0.182533	11.334100	-0.022200	0.000000	2.042952	-0.124337	-0.124341	0.000000	1.552438	9.715766	0.199131	nan
179.600000	7.575261	7.604706	0.373394	0.168415	0.682951	-168.276878	2706.575433	-48.905157	7.315658	20.276048	30.172483	28.328519	30.974988	29.098778	30.572751	-2.905083	1.485242	0.842628	210964.202460	-0.180624	11.334235	-0.022451	0.000000	2.043967	-0.124336	-0.124345	0.000000	1.552071	9.760281	0.199084	nan
179.800000	7.574479	7.604646	0.365511	0.168716	0.678146	-286.140856	2706.690454	-135.643916	7.314422	20.290597	30.173190	28.328681	30.978165	29.101269	30.567184	-2.905181	1.485056	0.842282	210881.531617	-0.182050	11.333960	-0.022669	0.000000	2.044998	-0.124338	-0.124349	0.000000	1.552708	9.816434	0.199165	nan
180.000000	7.573653	7.604289	0.360026	0.169425	0.672354	-427.650105	2706.876278	-259.706460	7.313194	20.295651	30.173323	28.328686	30.977930	29.097292	30.564848	-2.905206	1.484768	0.842167	210789.067014	-0.186374	11.333736	-0.022628	0.000000	2.045179	-0.124342	-0.124348	0.000000	1.552929	9.855432	0.199193	nan
180.200000	7.573668	7.603860	0.360480	0.169708	0.657227	-455.853998	2706.839300	-329.657464	7.311938	20.291759	30.169457	28.327943	30.986541	29.090391	30.567046	-2.905073	1.484700	0.841982	210675.896887	-0.189061	11.333934	-0.022342	0.000000	2.044946	-0.124350	-0.124345	0.000000	1.552759	9.852126	0.199172	nan
180.400000	7.573827	7.603617	0.364450	0.169072	0.642995	-423.935230	2706.700182	-316.878929	7.310657	20.301986	30.163200	28.328064	31.000432	29.085345	30.570607	-2.905127	1.483845	0.841918	210475.271823	-0.186628	11.334242	-0.021978	0.000000	2.044536	-0.124351	-0.124343	0.000000	1.553206	9.823878	0.199229	nan
180.600000	7.573622	7.603683	0.364778	0.168190	0.631551	-426.105498	2706.655474	-288.446170	7.309453	20.321600	30.159960	28.328427	31.007000	29.085134	30.574054	-2.905236	1.483154	0.841810	210144.321030	-0.182484	11.334422	-0.021942	0.000000	2.043888	-0.124345	-0.124344	0.000000	1.554063	9.821954	0.199339	nan
