***Resultados da Análise***
Data do teste experimental: 2025/05/14
Data tratamento: 23/05/2025
Arquivo Original: example/FSC2_Agua_Ar_Downward_45_graus/ID15
Coluna Critério: Densitometro
Tamanho Mínimo da Janela: 100.0 segundos
Tamanho Máximo da Janela: 200.0 segundos
Tamanho Ótimo da Janela: 103.0 segundos
Média da Janela: 155742.7476
Desvio Padrão: 14.9659
Tempo Inicial: 200.20 segundos
Tempo Final: 302.60 segundos
Número de Pontos: 513
***Estatísticas das variáveis na janela***
Variável: Média | Desvio padrão | Incerteza tipo A
PIT-M-0101: 0.410660 | 0.004145 | 0.000183
PDT-M-0101-40kPa_mA: -1932.383181 | 43.135564 | 1.904482
PDT-M-0101B-10kPa_mA: -2233.559877 | 43.799378 | 1.933790
PDT-M-0101C-3kPa_mA: -1779.766319 | 38.957137 | 1.720000
PDT-M-0101D-30Kpa_mA: -1379.170337 | 40.188354 | 1.774359
PDT-M-0101D-30Kpa_mA_tara: -1826.272884 | 40.188354 | 1.774359
TIT-M-0101: 25.127499 | 0.005336 | 0.000236
Densitometro: 155742.747588 | 14.965867 | 0.660759
J Ar: 3.167244 | 0.009270 | 0.000409
J Água: 1.800324 | 0.004862 | 0.000215
***Dados da Janela***
***End_of_Header***
X_Value	PIT-A-0101	PIT-A-0301	PIT-M-0101	PIT-O-0301	PIT-W-0301	PDT-M-0101-40kPa_mA	PDT-M-0101B-10kPa_mA	PDT-M-0101C-3kPa_mA	PDT-M-0101D-30Kpa_mA	PDT-M-0101D-30Kpa_mA_tara	PIT-A-AUX	Model Pressure Drop	TIT-A-0101	TIT-A-0301	TIT-M-0101	TIT-O-0301	TIT-W-0301	LV-O-0X01	LV-W-0X01	LV-M-0X01	Densitometro	FT-A-0301	FT-A-0302	FT-A-0303	FT-A-0303 1	FT-O-0301	FT-O-0302	FT-O-0303	FT-W-0301	FT-W-0302	J Ar	J Água	Comment
206.800000	7.417290	7.446548	0.422703	0.074749	1.927677	-1913.247246	-2208.782829	-1751.499665	-1346.021988	-1793.124535	9.338878	954.116426	19.791977	21.708152	25.125397	21.703478	22.619832	-2.911067	0.819640	0.971260	155749.200347	-0.201678	3.838428	-0.073301	0.000000	2.028571	-0.124491	-0.124484	14.034636	-0.016397	3.142081	1.798113	nan
207.000000	7.416657	7.446909	0.422904	0.075098	1.927428	-1889.530362	-2191.786735	-1740.513195	-1321.358728	-1768.461275	9.335959	952.662577	19.791727	21.708556	25.131480	21.705172	22.619275	-2.910903	0.816918	0.970801	155753.499927	-0.202114	3.838515	-0.072933	0.000000	2.030862	-0.124489	-0.124491	14.022557	-0.016528	3.141904	1.796547	nan
207.200000	7.416199	7.446978	0.420560	0.074341	1.927856	-1864.584398	-2174.366442	-1728.108519	-1310.489195	-1757.591742	9.332908	953.152128	19.785438	21.706179	25.136946	21.701060	22.621436	-2.910742	0.814211	0.970666	155753.549003	-0.202256	3.838615	-0.072783	0.000000	2.031949	-0.124492	-0.124494	14.026694	-0.016553	3.147281	1.797075	nan
207.400000	7.416306	7.446722	0.417134	0.073361	1.926614	-1849.197042	-2163.472166	-1718.035021	-1315.085819	-1762.188366	9.329503	954.482620	19.780951	21.703360	25.132611	21.697593	22.624203	-2.910712	0.815325	0.970958	155748.741043	-0.201429	3.838622	-0.072973	0.000000	2.030068	-0.124492	-0.124488	14.038005	-0.016692	3.154789	1.798508	nan
207.600000	7.416384	7.446240	0.414888	0.072620	1.925491	-1853.639042	-2164.480597	-1714.123090	-1322.525564	-1769.628111	9.326277	954.868823	19.783798	21.702526	25.124130	21.696294	22.621950	-2.910704	0.819097	0.971341	155745.696046	-0.201502	3.838521	-0.073267	0.000000	2.027477	-0.124491	-0.124484	14.041375	-0.016820	3.159456	1.798923	nan
207.800000	7.416147	7.446230	0.414778	0.072456	1.924256	-1873.996602	-2175.536615	-1719.385819	-1324.178741	-1771.281287	9.323212	954.760227	19.791248	21.705263	25.117122	21.697440	22.616524	-2.910622	0.821976	0.971635	155744.157656	-0.201873	3.838384	-0.073508	0.000000	2.027106	-0.124487	-0.124485	14.040405	-0.016762	3.159480	1.798806	nan
208.000000	7.415962	7.446920	0.416068	0.073204	1.923470	-1888.321082	-2186.134894	-1729.596366	-1327.705104	-1774.807651	9.320168	955.522058	19.795289	21.708102	25.117158	21.702361	22.611508	-2.910643	0.822591	0.971395	155743.894396	-0.200810	3.838338	-0.073440	0.000000	2.028519	-0.124483	-0.124486	14.046804	-0.016768	3.156789	1.799626	nan
208.200000	7.416125	7.447141	0.416766	0.073795	1.922378	-1896.700460	-2195.201524	-1739.879729	-1340.444117	-1787.546664	9.317190	957.567800	19.790289	21.707379	25.125315	21.705391	22.613405	-2.910727	0.821129	0.971115	155742.509612	-0.200108	3.838337	-0.073338	0.000000	2.029648	-0.124485	-0.124487	14.064193	-0.017000	3.155410	1.801827	nan
208.400000	7.416587	7.446604	0.418040	0.073499	1.922530	-1898.061480	-2194.678258	-1743.231876	-1346.903813	-1794.006360	9.314353	958.154797	19.782389	21.705275	25.132267	21.702534	22.624766	-2.910786	0.819325	0.971237	155736.645350	-0.200817	3.838291	-0.073204	0.000000	2.029767	-0.124492	-0.124488	14.069366	-0.017253	3.152432	1.802458	nan
208.600000	7.416853	7.446296	0.420578	0.073585	1.923332	-1891.227543	-2189.372559	-1738.284092	-1342.873588	-1789.976135	9.311531	956.223343	19.781964	21.703724	25.131077	21.698766	22.630863	-2.910884	0.818974	0.971326	155729.003085	-0.201193	3.838208	-0.072941	0.000000	2.029070	-0.124493	-0.124488	14.053038	-0.017118	3.146618	1.800381	nan
